Date,Open,High,Low,Close,Volume,,,,,,,,
01-Sep-23,562.7,571.2,562.1,569.55,"1,81,21,168",,,,,,,,
04-Sep-23,572,576.35,568.45,575.55,"1,21,08,655",,,,,,,,
05-Sep-23,575.6,578.25,571.35,573,"1,44,44,729",,,,,,,,
06-Sep-23,574.25,574.25,568,570.5,"2,06,09,936",,,,,,,,
07-Sep-23,568,581,568,579.05,"1,23,90,597",,,,,,,,
08-Sep-23,581,588.5,579.7,583.45,"1,40,32,068",,,,,,,,
11-Sep-23,587,592.3,585.35,591.7,"1,09,46,134",,,,,,,,
12-Sep-23,593.65,594.25,584.65,588.35,"1,60,93,060",,,,,,,,
13-Sep-23,588.4,598,583.45,596.45,"1,93,77,172",,,,,,,,
14-Sep-23,598.45,603.7,595.2,597.3,"1,31,78,911",,,,,,,,
15-Sep-23,599.35,600.7,595.2,598.8,"1,17,56,389",,,,,,,,
18-Sep-23,598.8,608.4,597.05,603.95,"1,93,05,055",,,,,,,,
20-Sep-23,600.85,606.8,599.4,601.1,"2,13,14,600",,,,,,,,
21-Sep-23,600,606.6,584.65,588.15,"2,34,53,425",,,,,,,,
22-Sep-23,593.5,602,591.4,598.15,"1,87,84,139",,,,,,,,
25-Sep-23,601.5,601.5,590.45,594.05,"97,12,784",,,,,,,,
26-Sep-23,594,595,591.25,594.4,"83,27,427",,,,,,,,
27-Sep-23,593.45,594.3,588.2,589.75,"98,65,347",,,,,,,,
28-Sep-23,591.25,595.2,588.85,589.95,"2,19,60,816",,,,,,,,
29-Sep-23,592.85,600,591.3,598.55,"1,21,89,735",,,,,,,,
03-Oct-23,596.6,604.9,589.6,602.95,"1,53,22,196",,,,,,,,
04-Oct-23,600,600.45,584.45,586.25,"2,49,14,612",,,,,,,,
05-Oct-23,590,594.35,587.1,592.15,"1,32,48,028",,,,,,,,
06-Oct-23,593.4,598.95,592.2,594.25,"82,16,780",,,,,,,,
09-Oct-23,588,589,581.55,585.1,"91,89,597",,,,,,,,
10-Oct-23,587,595,585.75,591.65,"1,03,73,508",,,,,,,,
11-Oct-23,596.9,597,587.6,588.35,"1,42,20,119",,,,,,,,
12-Oct-23,590.8,593,585,586.05,"1,19,83,797",,,,,,,,
13-Oct-23,577.75,581.3,574.8,576.15,"1,90,64,577",,,,,,,,
16-Oct-23,576,578.75,571.5,575.65,"1,12,90,293",,,,,,,,
17-Oct-23,577.7,579.95,575.3,576.45,"1,07,65,224",,,,,,,,
18-Oct-23,577.75,579.25,569.35,572.65,"1,17,77,454",,,,,,,,
19-Oct-23,569.8,574,567,571.2,"1,14,41,499",,,,,,,,
20-Oct-23,569.9,570,562.1,563.1,"1,11,10,988",,,,,,,,
23-Oct-23,563.1,566,551,552.95,"1,18,75,035",,,,,,,,
25-Oct-23,558.6,560.8,553.6,556.2,"1,21,34,624",,,,,,,,
26-Oct-23,551.45,552.9,543.2,547,"1,94,24,825",,,,,,,,
27-Oct-23,550,562.5,550,561.15,"1,04,15,296",,,,,,,,
30-Oct-23,563,566.7,556.5,565.2,"85,93,704",,,,,,,,
31-Oct-23,567,569.5,563.15,565.55,"1,30,39,696",,,,,,,,
