Date,Open,High,Low,Close,Volume
07-08-2017,815.799988,815.799988,806.275024,808.174988,4360036
08-08-2017,809,810.525024,793.400024,801.275024,5011136
09-08-2017,800.75,810,792.5,799.400024,4771286
10-08-2017,796.525024,803.325012,788.974976,792.174988,4657686
11-08-2017,775.474976,790,766.5,773.125,7770128
14-08-2017,780.5,792.25,780.5,786.525024,6144598
16-08-2017,786,788,775.099976,783.049988,6206788
17-08-2017,784.5,798.825012,780.575012,783.549988,7236358
18-08-2017,782,788.900024,776.575012,787.700012,3628022
21-08-2017,788.5,792.075012,780.125,782.200012,3462376
22-08-2017,786,789.950012,778.025024,780.025024,4358460
23-08-2017,782.424988,793.275024,776.575012,791.025024,3803648
24-08-2017,795,796.549988,782.25,784.025024,5785142
28-08-2017,789.525024,790.974976,780.599976,783.275024,5630656
29-08-2017,780.924988,783.75,765,766.075012,6932842
30-08-2017,773.775024,784.400024,770.625,782.049988,4724774
31-08-2017,787.5,798.724976,787,797.25,11476990
01-09-2017,799.924988,808.299988,799.5,805.049988,7054954
04-09-2017,807.75,818.075012,797.924988,806.674988,9856750
05-09-2017,815,817.424988,810.525024,816.299988,11528262
06-09-2017,813.200012,826.25,811.400024,822.700012,22285024
07-09-2017,823,832.5,815,818.099976,7408536
08-09-2017,820,823.25,812.099976,816.900024,6056729
11-09-2017,821.299988,826.849976,816.549988,817.900024,5801712
12-09-2017,822.75,825,817,823.75,2971669
13-09-2017,824,859.900024,822,849,13430225
14-09-2017,855.799988,861.5,842,843.849976,5425486
15-09-2017,842,852.849976,834.75,841.799988,13072853
18-09-2017,850,851.049988,843.099976,845.549988,2314174
19-09-2017,848.700012,848.75,837,838.599976,3528729
20-09-2017,856.099976,872.5,845.099976,847.150024,11402965
21-09-2017,847,851.700012,836.25,841.349976,5920552
22-09-2017,839.900024,839.900024,813.200012,817.400024,5620443
25-09-2017,815,827.950012,805.200012,821.549988,6505309
26-09-2017,821.700012,827.049988,812.200012,820.099976,4829571
